Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
MOTHERSON,4h,165.7100067138672,163.99580017089843,155.14173350016276,150.29650032043457,4.465427653304399,173.27000427246094,100.52274639930697,64.84826832686859,4.562185294969945,89.30555555555556,9,https://www.tradingview.com/symbols/MOTHERSON/?exchange=NSE,True,True,True,True,True,True,True,True,True
LUMAXTECH,4h,2044.0,1999.9840063476563,1752.0793391927084,1730.7165045166016,2.7121395695886896,2190.0,1116.3719883205647,83.0930927490334,7.14285714285714,89.16666666666667,9,https://www.tradingview.com/symbols/LUMAXTECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
VIJAYA,4h,1513.5999755859375,1499.5719995117188,1411.7506640625,1378.226998901367,5.712298637830715,1593.5999755859375,846.8252647277601,78.73816932853724,5.285412347409091,89.02777777777777,9,https://www.tradingview.com/symbols/VIJAYA/?exchange=NSE,True,True,True,True,True,True,True,True,True
GRANULES,4h,873.0,859.50099609375,842.8209981282552,822.3367477416992,4.027287624945486,923.6500244140625,509.48866067465497,71.34826883958327,5.801835557166379,88.75,9,https://www.tradingview.com/symbols/GRANULES/?exchange=NSE,True,True,True,True,True,True,True,True,True
BALRAMCHIN,4h,686.0,682.8069970703125,623.1956648763021,600.9144992065429,5.145606272683989,780.9500122070312,393.54998779296875,74.31076642819711,13.841109651170736,88.61111111111111,9,https://www.tradingview.com/symbols/BALRAMCHIN/?exchange=NSE,True,True,True,True,True,True,True,True,True
NAZARA,4h,377.5,365.73699829101565,333.0849989827474,319.6059997558594,5.594120040415529,384.5,215.6999969482422,75.01159264762632,1.8543046357615944,87.91666666666667,9,https://www.tradingview.com/symbols/NAZARA/?exchange=NSE,True,True,True,True,True,True,True,True,True
PCJEWELLER,4h,14.15999984741211,12.283800029754639,10.414466692606608,10.030750007629395,6.266387802735385,14.859999656677246,7.46999979019165,89.55823621313408,4.943501531132211,87.77777777777777,9,https://www.tradingview.com/symbols/PCJEWELLER/?exchange=NSE,True,True,True,True,True,True,True,True,True
CAPLIPOINT,4h,2835.0,2682.8000048828126,2587.376005859375,2440.381002197266,7.372548581217431,2990.0,1495.027411428422,89.62863010593918,5.467372134038806,87.5,9,https://www.tradingview.com/symbols/CAPLIPOINT/?exchange=NSE,True,True,True,True,True,True,True,True,True
LOTUSDEV,4h,217.99000549316406,197.3920001220703,172.4451996866862,164.3317000579834,6.822446875559196,225.48413604918645,101.81956678755641,114.09441463053356,3.437832179080069,87.36111111111111,9,https://www.tradingview.com/symbols/LOTUSDEV/?exchange=NSE,True,True,True,True,True,True,True,True,True
AUROPHARMA,4h,1712.0,1669.072001953125,1597.0860034179686,1566.5340008544922,3.1579203740268014,1740.0,1066.800048828125,60.479932662228904,1.6355140186915973,87.08333333333333,9,https://www.tradingview.com/symbols/AUROPHARMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
