Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
FINCABLES,daily,1399.699951171875,1180.7672900390626,1044.2362809244792,971.9058071899414,6.622475868460409,1498.0,695.8450204922062,101.1511054834878,7.02293721921079,95.00693481276005,9,https://www.tradingview.com/symbols/FINCABLES/?exchange=NSE,True,True,True,True,True,True,True,True,True
ENTERO,daily,1795.5,1480.7040014648437,1269.7500048828124,1225.342003479004,6.1855536695848645,1920.0,944.0,90.20127118644068,6.93400167084377,94.72954230235784,9,https://www.tradingview.com/symbols/ENTERO/?exchange=NSE,True,True,True,True,True,True,True,True,True
PFOCUS,daily,352.6499938964844,295.7877990722656,279.94299947102866,267.75374954223633,5.943537053889725,367.0,161.00999450683594,119.0236668081571,4.069192216611195,94.59084604715673,9,https://www.tradingview.com/symbols/PFOCUS/?exchange=NSE,True,True,True,True,True,True,True,True,True
INOXINDIA,daily,2089.199951171875,2021.7419970703124,1659.5030639648437,1526.3405096435547,7.173005997915594,2339.5,1066.9168905614442,95.81655981399584,11.980665071704921,94.31345353675451,9,https://www.tradingview.com/symbols/INOXINDIA/?exchange=NSE,True,True,True,True,True,True,True,True,True
EMIL,daily,191.27999877929688,165.67660095214845,128.20833374023437,121.26795024871826,5.199924108591847,202.86000061035156,84.9000015258789,125.30034786983086,6.053953317103455,94.03606102635229,9,https://www.tradingview.com/symbols/EMIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
BHEL,daily,433.3999938964844,419.5811486816406,365.9230830891927,342.277738571167,4.905356419780338,446.5,228.8019259330385,89.42147979266741,3.022613356714654,93.89736477115119,9,https://www.tradingview.com/symbols/BHEL/?exchange=NSE,True,True,True,True,True,True,True,True,True
MCX,daily,3209.0,3009.3628125,2855.665724283854,2707.6895947265625,5.669381815482422,3471.4939344339746,1541.323282972979,108.19772434828371,8.179929399625262,93.75866851595008,9,https://www.tradingview.com/symbols/MCX/?exchange=NSE,True,True,True,True,True,True,True,True,True
QPOWER,daily,1486.4000244140625,1290.3360131835936,1147.0200663248697,1041.0646737670897,7.017555841142609,1570.0,580.8863637342646,155.8848196846361,5.624325498709037,93.48127600554785,9,https://www.tradingview.com/symbols/QPOWER/?exchange=NSE,True,True,True,True,True,True,True,True,True
KRN,daily,1416.5,1396.4659985351564,1196.5833321126302,1075.1874984741212,7.942153140754704,1687.0,589.7999877929688,140.1661629903626,19.09636427815038,93.34257975034674,9,https://www.tradingview.com/symbols/KRN/?exchange=NSE,True,True,True,True,True,True,True,True,True
KTKBANK,daily,314.54998779296875,304.8490295410156,264.1424512736003,246.58785118103026,6.44720017957956,340.5841746417806,167.3874286313754,87.91733068896008,8.27664532161645,93.20388349514563,9,https://www.tradingview.com/symbols/KTKBANK/?exchange=NSE,True,True,True,True,True,True,True,True,True
